Day,Time,Title,Speaker,Room,Venue,Theme1,Theme2,Theme3,Description,Is highlight
Saturday,14.30,Debate: Catalonia & the crisis in Europe,David Karvala & others,Seminar room 642,IOE,,,,"(https://www.facebook.com/events/1670563616332870/) The crisis in Catalonia may have been slipped down the headlines, but it is by no means over. The recent resignation of Rajoy has opened up possibilities for the movemet to push back. And what does the independence crisis say about the nature of the European Union? Activists from the Catalonia including David Karvala will be flying over to join the debate.",
Saturday,14.30,Dylan Thomas: Poetry and politics,Phil Knight,Bloomsbury,SC,,,,,
Saturday,16.15,Marxian theory & eco-revolution,John Bellamy Foster,The Venue,SC,Climate,,,(https://www.facebook.com/events/633990273607227/) John Bellamy Foster is editor of Monthly Review in the US and is author of many books discussing the environment. He'll be discussing how why socialist politics must be at the heart of any real attempt to fight climate change and for a sustainable planet.,
Saturday,16.15,Debate: What would a Labour government look like?,Charlie Kimber and special guests,Upper Hall,SC,Corbyn,,,Could a Labour government really end austerity? How would Corbyn defend himself against the inevitable attacks from the ruling class? What role would the movement on the streets and workplaces play? Join Charlie Kimber and special guests to discuss these questions and more. ,
Saturday,16.15,"25 years on from Stephen Lawrence: Police, racism & the state","Janet Alder, Brian Richardson",Elvin Hall,IOE,Racism,,,"Janet's brother Christopher was racially abused and killed in police custody in 1998. In the 20 years since she has been a fearless fighter for justice, and it recently emerged the police admitted to spying on her during the justice campaign. Hear her story.",
Saturday,16.15,From Ireland to Trump: The fight for abortion rights,"Brid Smith TD, Judith Orr",Malet Suite,SC,Sexism,,,(https://www.facebook.com/events/1635619956491099/) The abortion campaign in Ireland was inspiring and involved millions of working class women fighting back against the bigotry of church and state. We're delighted to be hosting Brid Smith - a member of the Irish Parliament - alongside Abortion Wars author Judith Orr to discuss the fight for abortion rights today.,
Saturday,16.15,Booklaunch: Politics of the mind: Marxism & mental distress,Iain Ferguson,3C/D,SC,Liberation,,,"Mental Distress has become one of the key “public issues” of the 21st century. According to the World Health Organisation, depression currently affects 350 million people worldwide. In his new book Politics of the Mind: Marxism and Mental Distress Iain Ferguson looks at the link between the economic and political system under which we live – capitalism – and the enormously high levels of mental distress which we see in the world today. At this meeting Iain will discuss how we can better understand mental distress using an historical and materialist Marxist approach as well as how new movements over the last few years have shaped responses to mental health issues.
",
Saturday,16.15,Brazil: Neoliberalism vs democracy,"Alfredo Saad-filho, Raquel Varela",Nunn,IOE,,,,"Alfred Saad Filho, author of a new book on Brazil, will be debating with Raquel Varela the current political situation in Brazil.",
Saturday,16.15,"Gig work, the platform economy & class struggle",,Clarke,IOE,Class,,,,
Saturday,16.15,The lost revolution: 100 years on from the German revolution,Michael Bradley,Seminar room 802,IOE,,,,"Revolutions that are defeated are soon forgotten. Yet of all the upheavals after WWI, it was events in Germany that prompted British Prime Minister David Lloyd George to wrie 'The whole existing order, in its political, social and economic aspects, is questioned by the masses from one end of Europe to the other.' Michael Bradley will be assessing the 100th anniversary of the Lost Revolution in Germany. ",
Saturday,16.15,From African Marxism to neoliberalism,Mani Tanoh,Seminar room 642,SC,,,,We'll be joined by Mani Tanoh from Ghana and Willet Hanyani from Zimbabwe to discuss class struggle in Africa.,
Saturday,16.15,Spoken word workshop,Kurly,Bloomsbury,IOE,,,,Spoken word artist Kurly will be leading a particpatory workshop open to all. Get your rhymes ready!,
Saturday,19.00,Marx the revolutionary,Alex Callinicos,The Venue,SC,Marx@200,,,"(https://www.facebook.com/events/604582456584128/) This year marks the 200th anniversary of the birth of Karl Marx. Alex Callinicos, author of The Revolutionary Ideas of Karl Marx, will be reclaiming Marx as a revolutionary for today. Followed y a film screening of The Young Karl Marx.",
Saturday,19.00,Palestine & the rhetoric of free speech,"Ghada Karmi, Jonathan Rosenhead",Upper Hall,SC,Imperialism,,,"The pro-Palestine movement has been under fierce attack, from university campuses to the Labour Party. We'll be joined by Palestinian author and activist Ghada Karmi and Jewish Voice for Labour member Jonathan Rosenhead to debate the silencing of Palestine.",
Saturday,19.00,A rebel's guide to disco,Yuri Prasad & Liz Wheatley,Lunchbox cafe,SC,,,,"Uncover the radical history of the music that filled the dance floors, challenged oppression and became a scourge of the right.",
Saturday,19.00,Enoch Powell & rivers of blood: 50 years on,"Patrick Vernon, Shirin Hirsch",Malet Suite,SC,Racism,,,"50 years ago, Enoch Powell made a inflamatory speech that whipped up racism towards migrants. He was sacked the next day, but over the years conservatives and racists have tried to rehabilitate his reputation and argue that his anti-migrant racism may have been well placed. We'll be joined by author and activist Patrick Vernon and Dr Shirin Hirsch to discuss the legacy of Powell's speech today.",
Saturday,19.00,Organising the unorganised,"McStriker, Pam Frache",3C/D,SC,Class,,,The McStrike early this year was inspiring - low paid workers organising in the most difficult of conditions. A McStriker in the UK will be joined by Pam Frache from Fight for 15 in Canada to discuss the global fight to organise the unorganised.,
Saturday,19.00,Fashion & Capitalism,Tony Sullivan,Nunn,IOE,,,,,
Saturday,19.00,Film screening: Calais children: A Case to answer Q & A,Sue Clayton,Clarke,IOE,Racism,,,(https://www.facebook.com/events/254956981941042/) This award winning film tells the story of the children left behind in Calais by the British and French Authorities. It follows a Q & A with director Sue Clayton ,
Saturday,21.00,Rebel's Guide to Disco,DJ Liz Wheatley & Yuri Prasad,The Venue,SC,,,,DJ's Yuri Prasad and Liz Wheatley follow their discussion on the radical history of disco with a night of music and DJs in Student Central,
Saturday ,21.00,Culture: Freesia film screening,,Malet Suite,SC,Culture,,,"An award winning film that looks at Islamophobia in Britain today, Freesia follows the story of three families in Bradford. More info at https://www.imdb.com/title/tt4474930/",
Sunday,10.00,Who is to blame for the horror in Syria?,Ghayath Naisse,Upper Hall,SC,Imperialism,,,Syrian socialist Ghayath Naisse will be leading a discussion on Who is to blame for the horror in Syria?,
Sunday,10.00,Do privilege theory & intersectionality help fight oppression?,Sue Caldwell,Malet Suite,SC,Sexism,racism,,,
Sunday,10.00,How do we learn? Pedagogy & education today,Jess Edwards,3C/D,SC,,,,"NUT National Executive member Jess Edwards will be leading a discussion on how we learn, and how radical pedagogy can provide an alternative to the crisis in education.",
Sunday,10.00,"Scotland, independence & the Left",,3E,SC,,,,,
Sunday,10.00,Black Thinkers Matter: Malcolm X & the fight against racism,Nike Johnson,Nunn,IOE,Racism,,,,
Sunday,10.00,1968: The Prague Spring and the rupturing of Stalinism,Tomas Tengely-Evans,Clarke,IOE,,,,,
Sunday,10.00,Capitalism & extinction,Sarah Ensor,Seminar room 802,IOE,Climate,,,,
Sunday,11.45,Gramsci & the art of politics,Alex Callinicos,The Venue,SC,,,,"The work of Antonio Gramsci is often hijacked by right wingers, but Gramsci's works are key to a Marxist understanding and method. Alex Callinicos will be reclaiming Gramsci for today. ",
Sunday,11.45,Building in the unions & workplace,Mark L Thomas,Upper Hall,SC,Class,,,It's been revealed that 2017 had the lowest strike figures since records began. What does this mean for trade union tactics today? How can we build in the workplace in period of low struggle? SWP Industrial organiser Mark L Thomas will be discussing these questions and more. ,
Sunday,11.45,A woman's right to chooseIslamophobia & the hijab,"Naima Omar, Siema Iqbal, :Latifa Abouchakra",Malet Suite,SC,Racism,,,"(https://www.facebook.com/events/1840185549373229/) The hijab has been at the forefront of islamophobia, from the ban in France to racist attacks here. There is also some confusion within the Left, with many falling into pseudo-feminist arguments that criticise Islam. Siema Iqbal (AVOW), Naima Omar and Latifa Abouchakra (NEU member) will be discussing the fight to defend a woman's right to wear the hijab.",
Sunday,11.45,Are we heading for a new Cold War?,Judith Orr,3C/D,SC,Imperialism,,,Author and activist Judith Orr will be discussing the potential imperialist clashes in the era of Trump and Putin,
Sunday,11.45,Who gets to be remembered: Should all the statues fall?,Brian Richardson,3E,SC,Racism,Imperialism,,"We've recently seen an explosion of debate surrounding the legacy of slavery and empire, much of it centred on the statues of that era. Author and activist Brian Richardson will be debating whether they should all fall.",
Sunday,11.45,Workshop: Is human nature a barrier to socialism?,Fran Manning,Nunn,IOE,Socialism,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Sunday,11.45,Booklaunch: Reason in revolt,Alan Gibbons,Clarke,IOE,,,,Author Alan Gibbons launches the second book of his Russian Revolution trilogy,
Sunday,11.45,Workshop: What is the dialectic?,Richard Donnelly,Seminar room 802,IOE,Marx@200,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Sunday,14.00,Palestine in the era of Trump,Ilan Pappé,The Venue,SC,Imperialism,Trump,,"(https://www.facebook.com/events/196048077711172/) Ilan Pappé is one of the most prominent anti-Zionist scholars in the world, and has written a number of celebrated books on the topic. Ilan will be discussing The day after: opportunities and dangers for Palestine in the era of Trump.",
Sunday,14.00,Resisting the far right & fascism in Europe,"Christine Buchholz, David Albrich & more",Upper Hall,SC,Racism,,,"(https://www.facebook.com/events/1936843079719073/). We've recently seen the far right movement in Britain attempt to make the kind of breakthrough made by their European counterparts. This special panel willl bring together antifascists from across Europe to debate the fightback against the far right. Speakers include Christine Buchholz (MP in Germany), David Albrich (Austria) and Petros Constantinou (Greece)",
Sunday,14.00,"Universities and colleges, neoliberalism & resistance","Nita Sanghera, Josh Hollands",Malet Suite,SC,,,,"From HE to FE, this year has seen massive attacks but also huge resistance. A panel of activists will be discussing where next in the fight to defend education. Speakers include Nita Sanghera (UCU Vice-President elect) and UCU activists.",
Sunday,14.00,"Class, Pride and protest: Fighting for LGBT+ liberation",Nicola Field and others,3C/D,SC,Liberation,,,"A special panel will be discussing Class, Pride & Protest: the fight for LGBT+ Liberation. Speakers include Nicola Field (Lesbians and Gays Support the Miners), Charlie Kiss (Trans activist), Peter Purton (author of Trade Unions & LGBT Rights)  & Edward Sesange (Diamond African LGBTI Group).",
Sunday,14.00,NHS @ 70: How can we fight to defend it?,Karen Reissman,3E,SC,,,,A panel of NHS campaigners will come together on the NHS' 70th birthday to debate how we can fight to save it. ,
Sunday,14.00,"Black voices, white visions: Music, racism and identity",Dave Randall,Nunn,IOE,Culture,,,Musician and author Dave Randall  will be leading a discussion on the anti-racist legacies of music. Dave has toured the world playing with Faithless and Sinead O'Connor.,
Sunday,14.00,Dirty energy & capitalism: what's the real story,Suzanne Jeffrey & others,Clarke,IOE,Climate,,,"Suzanne Jeffrey will be joined by anti-fracking activists to discuss how dirty enegry is tied into capitalism, and how we can build a movement to take it on.",
Sunday,14.00,Booklaunch: A Rebel's Guide to Martin Luther King,Yuri Prasad,Seminar room 802,IOE,Racism,,,"On the 50th anniversary of the assassination of Martin Luther King, politicians will queue to pay their respects. They will smother his memory with praise but none will acknowledge the truth - that King was a radical who wanted a complete transformation of society. Where in their vision is the King who stood out against the Vietnam War, who pledged to organise a poor people's march on Washington and who mounted a devastating critique of capitalism?
What about the King who talked of revolution and who the FBI labelled ""the most dangerous Negro in America""? Where is the King who was gunned down in Memphis while supporting striking workers? Author & journalist Yuri Prasad will be discussing King's radical legacy.",
Sunday,14.00,Prospects for the socialist Left in Ireland,Richard Boyd Barrett TD,Seminar room 642,IOE,Socialism,,,"From the abortion referendum to the water charges movement, Ireland has seen profound struggles for social change. Richard Boyd-Barrett, member of the Irish Parliament, will be discussing the prospects for the socialist Left in Ireland. ",
Sunday,14.00,Workshop: Marx & Alienation,Naima Omar,Bloomsbury,SC,Marx@200,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Sunday,15.45,From the Football Lads Alliance to Tommy Robinson: the far right on the march,,The Venue,SC,Racism,,,"The Windrush scandal has exposed the racism at the heart of the British state, and has revealed the true nature of the 'hostile environment'. It has also raised questions of 'good' migrants and 'bad' migrants, and what it means to be 'British'. Join Weyman Bennett to debate these questions and more.",
Sunday,15.45,"Corbyn, antisemitism & justice for Palestine","Naomi Wimbourne-Idrissi, Rob Ferguson, Salma Karmi-Ayyoub",Upper Hall,SC,Corbyn,Imperialism,,"The Labour right and supporters of Israel have smeared the Left and pro-Palestine movement as being antisemitic. While of course any instance of antisemitism must be vigorously opposed, we can not allow the right to use false smears to silence criticism of Israel and support for Palestine. Naomi Wimbourne-Idrissi from Jewish Voice for Labour and Rob Ferguson will be joined by other activists to discuss the politics behind the smears, and how we can counter them.",
Sunday,15.45,Debating Trotskyism in Britain,"Joseph Choonara, John Kelly",Malet Suite,SC,,,,,
Sunday,15.45,The experience of Left reformism in Europe,Panos Garganos,3C/D,SC,,,,Panos is editor of Socialist Worker's sister paper Workers' Solidarity and will be looking at the experience Syriza in Greece and Left reformism in Europe. ,
Sunday,15.45,This is America: resistance to Trump,John Bellamy Foster & others,3E,SC,Trump,,,John Bellamy Foster is editor of Monthly Review in the US. He'll be joining a panel discussing how resistance has characterized Trump's first few years in power. ,
Sunday,15.45,Islamophobia and child abuse: challenging the myths,Bea Kay,Nunn,SC,Racism,,,,
Sunday,15.45,Social reproduction theory: capital & women's oppression,Sheila McGregor,Clarke,IOE,Sexism,,,,
Sunday,15.45,Film: Martin Luther King: Workers and the civil rights movement,,Seminar room 802,IOE,,,,"From Catalonia to Scotland, independence struggles have raised questions for the Left. ",
Sunday,15.45,Resistance and racism in France,Denis Godard,Seminar room 642,IOE,Marx@200,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Sunday,15.45,Marxism & the fight for national liberation,Hector Sierra,Bloomsbury,SC,,,,,
Sunday,17.30,Closing rally: After Trump-  the battle for the future,,The Light ,Friends Meeting House,,,,The closing rally will bring together activists and campaigners speaking on the fight for a different world.,
